Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-09-24,254.406945,20,20,1440,True,254.406945,10.650395833333333
2020-09-25,236.71023499999998,20,20,1440,True,236.71023499999998,11.09979861111111
2020-09-26,249.91751499999998,20,20,1440,True,249.91751499999998,9.283477083333334
2020-09-27,282.09847499999995,20,20,1440,True,282.09847499999995,11.657428472222222
2020-09-28,238.70642500000002,20,20,1440,True,238.70642500000002,13.086647222222222
2020-09-29,253.37964000000002,20,20,1440,True,253.37964000000002,12.41151736111111
2020-09-30,246.08854499999998,20,20,1440,True,246.08854499999998,11.54255486111111
2020-10-01,311.96824499999997,20,20,1440,True,311.96824499999997,8.688068055555554
2020-10-02,331.15805000000006,20,20,1440,True,331.15805000000006,11.089806944444444
2020-10-03,350.49858,20,20,1440,True,350.49858,11.101381944444444
2020-10-04,267.40310999999997,20,20,1440,True,267.40310999999997,11.73404861111111
2020-10-05,249.26628499999998,20,20,1440,True,249.26628499999998,12.328944444444444
2020-10-06,213.04865999999998,20,20,1440,True,213.04865999999998,12.4953125
2020-10-07,215.07997500000002,20,20,1440,True,215.07997500000002,12.77534027777778
2020-10-08,263.3654250000001,20,20,1440,True,263.3654250000001,11.780826388888888
2020-10-09,242.306035,20,20,1440,True,242.306035,11.472673611111112
2020-10-10,299.730485,20,20,1440,True,299.730485,11.641534722222223
2020-10-11,284.39188,20,20,1440,True,284.39188,11.62657638888889
2020-10-12,318.437265,20,20,1440,True,318.437265,11.999368055555555
2020-10-13,253.28583999999998,20,20,1440,True,253.28583999999998,11.503861111111112
2020-10-14,268.302545,20,20,1440,True,268.302545,10.40705486111111
2020-10-15,237.76395,20,20,1440,True,237.76395,9.687252777777777
2020-10-16,234.36905000000002,20,20,1440,True,234.36905000000002,11.097826388888889
2020-10-17,258.142425,20,20,1440,True,258.142425,11.273423611111111
2020-10-18,283.33166500000004,20,20,1440,True,283.33166500000004,13.553652777777776
2020-10-19,284.98608,20,20,1440,True,284.98608,13.8309375
2020-10-20,265.097265,20,20,1440,True,265.097265,12.956652777777778
2020-10-21,256.05821999999995,20,20,1440,True,256.05821999999995,11.098194444444443
2020-10-22,247.77655,20,20,1440,True,247.77655,9.659683333333334
2020-10-23,246.753245,20,20,1440,True,246.753245,10.975944444444444
2020-10-24,275.662275,20,20,1440,True,275.662275,10.612895833333333
2020-10-25,296.40820499999995,20,20,1440,True,296.40820499999995,10.051338888888889
2020-10-26,293.75632,20,20,1440,True,293.75632,10.786277777777778
2020-10-27,287.773385,20,20,1440,True,287.773385,10.420761805555555
2020-10-28,286.11268,20,20,1440,True,286.11268,9.714727777777778
2020-10-29,292.9926,20,20,1440,True,292.9926,13.442020833333332
2020-10-30,271.40169999999995,20,20,1440,True,271.40169999999995,11.327722222222222
2020-10-31,329.349575,20,20,1440,True,329.349575,10.9285625
2020-11-01,340.98528000000005,20,20,1440,True,340.98528000000005,11.072475694444444
2020-11-02,275.696005,20,20,1440,True,275.696005,9.222111111111111
2020-11-03,344.764445,20,20,1440,True,344.764445,8.559132638888888
2020-11-04,286.60428,20,20,1440,True,286.60428,7.426590277777779
2020-11-05,253.57045000000002,20,20,1440,True,253.57045000000002,5.394980555555556
2020-11-06,211.99310999999997,20,20,1440,True,211.99310999999997,9.383129166666667
2020-11-07,194.306345,20,20,1440,True,194.306345,12.712722222222222
2020-11-08,247.71233499999997,20,20,1440,True,247.71233499999997,13.658819444444445
2020-11-09,254.245005,20,20,1440,True,254.245005,12.023284722222222
2020-11-10,271.66057,20,20,1440,True,271.66057,11.5000625
2020-11-11,291.05431999999996,20,20,1440,True,291.05431999999996,11.349631944444443
2020-11-12,283.040525,20,20,1440,True,283.040525,10.21598611111111
